Source_ID,RA(J2000),DEC(J2000),Source_Type,F100,e_F100,F131.25,e_F131.25,F143.75,e_F143.75,F156.25,e_F156.25,F168.75,e_F168.75,Spectral_Index,e_Spectral_Index
21CMA-DDR1-J054936+850055,05:49:36.23,+85:00:54.8,P,0.1708942615819383,0.0306778296463282,0.1762264827302214,0.0307160505412702,0.1461081271248802,0.0324238558114101,0.0986885129527716,0.0258615134301516,0.0806919485038662,0.0242702093817577,-1.1096377145295762,0.5278663478049955
21CMA-DDR1-J061354+850341,06:13:54.37,+85:03:40.7,P,0.1306796541149683,0.0305318353930678,0.1361428640964083,0.0271623758778496,0.1239358896317,0.0218661127547113,0.0737912237169117,0.0174891596138115,0.0754498547068156,0.0206233802564713,-1.0707222429047976,0.5949632396776934
21CMA-DDR1-J045156+850107,04:51:56.20,+85:01:06.5,P,0.3425444025207764,0.0245402728733566,0.2494372285799801,0.0166711513381429,0.2202018672502759,0.0177398434234093,0.1744757023850905,0.0287860754749677,0.1609759120985212,0.0292215800557767,-1.3272904812344504,0.2373907860283015
21CMA-DDR1-J051353+850826,05:13:53.42,+85:08:26.4,P,0.0745263535178753,0.0203356260174843,0.083697848070238,0.0193627846813006,0.0868488217970993,0.0204262763258675,0.0792063616900841,0.0211561957603573,0.0760733520830882,0.0241967780110178,0.103646088421606,0.6936941246946693
21CMA-DDR1-J064846+851615,06:48:45.98,+85:16:15.1,P,0.1129160769629952,0.0250746828738911,0.1074128293201384,0.0251618382809984,0.1050616633082868,0.0211434775165041,0.0985587202114089,0.0255039168542913,0.1076544803982105,0.0225224913628833,-0.1487901985139759,0.5467188177112734
21CMA-DDR1-J060200+852449,06:01:59.52,+85:24:49.4,P,,,,,0.0548932127835094,0.0147244550748024,0.0549661038103157,0.0179903782279289,0.0590588083068157,0.0176986221997982,0.4373511678159271,2.500562568295249
21CMA-DDR1-J070033+851509,07:00:32.91,+85:15:08.6,P,0.1310185353527248,0.0244341178780037,0.1295448357725221,0.0218518223545626,0.1183225193179989,0.0246831333062941,0.1011707754922635,0.0242010958117405,0.1196591700806385,0.0289605214299793,-0.3260862958684686,0.5060772805462812
21CMA-DDR1-J052233+852150,05:22:33.09,+85:21:50.4,P,0.0788903231756269,0.0239629522628806,0.0787140547566593,0.0181919480816454,0.0729553717131246,0.0184073454121039,,,0.0764357354339955,0.0208979011739917,-0.0958999673171903,0.7628365629759405
21CMA-DDR1-J054506+852550,05:45:06.46,+85:25:50.4,P,0.1257533284209555,0.0252482114750642,0.120391402841098,0.023814156075618,0.1045889871461297,0.0132540539177923,0.1200391162666767,0.0237929165200118,0.1341467729394165,0.023945675452501,0.0088401323717856,0.4789283897729357
21CMA-DDR1-J070302+851551,07:03:01.79,+85:15:51.3,P,0.444543501468556,0.0263423605415208,0.2486653895878088,0.0208209167315041,0.2176297930981624,0.0263095540351134,0.1492878947007601,0.0265314299588197,0.1880050743898443,0.0312610052162278,-1.9865639153087664,0.2282921753884098
21CMA-DDR1-J064909+852229,06:49:08.63,+85:22:28.8,P,0.5813524325423028,0.0311995800990893,0.3834965660942788,0.0279359343463365,0.3496849907699974,0.0279551948752718,0.2277219538478699,0.0339942043883776,0.3903680120763954,0.0411778098593347,-1.2173966560681708,0.1795641810119218
21CMA-DDR1-J060054+853212,06:00:54.43,+85:32:12.3,P,0.104219754124552,0.0188327114901153,0.09671293356456,0.0201622184728235,0.0861613944754176,0.0162324375249347,0.0832380449366133,0.0183653074348757,0.0907733763849635,0.0181334923858371,-0.3659585841091688,0.4676735324886621
21CMA-DDR1-J053501+853216,05:35:01.33,+85:32:16.4,P,0.1106741979192429,0.0228107271178085,0.1102629327113704,0.0187687710259131,0.0922933235697236,0.0148886145285246,0.0878494879010422,0.0187218789894006,0.1200241571443046,0.0271892162548652,-0.1820695554804837,0.5189982951051632
21CMA-DDR1-J075128+850035,07:51:28.43,+85:00:35.4,P,0.2129768222226875,0.0330819145139885,0.19045732026645,0.0325804733981175,0.2035813484195515,0.0352733024700747,0.1500069062934087,0.0303188208694802,0.1369316179955352,0.0370369782571764,-0.6515968858394505,0.4496468270027383
21CMA-DDR1-J060928+853527,06:09:28.26,+85:35:27.4,P,,,0.0586890641386459,0.0167872575613115,0.0575137571725029,0.0131836248184564,,,0.0753265719071611,0.0188639184045849,1.1310729696383806,1.463527052158151
21CMA-DDR1-J055352+853834,05:53:51.87,+85:38:34.4,P,0.1738760797750138,0.0294464976684486,0.1540183783177206,0.0250719603183409,0.1224445400412025,0.0108876634825987,0.1408643474765287,0.0235649619495314,0.1391896747750881,0.0179763486747935,-0.4775817354054655,0.3877052599996375
21CMA-DDR1-J051922+853429,05:19:22.09,+85:34:29.2,P,,,0.0649162967336837,0.0166077246913732,0.0676941487076871,0.0155268691445375,0.069480208906747,0.0218624252572551,0.0808718658350403,0.0211629138468703,0.8291391119047521,1.3900096684469565
21CMA-DDR1-J072100+852111,07:20:59.88,+85:21:10.7,P,0.1403153385607649,0.0316371887630002,0.1475904784987149,0.0260151242869442,0.1295369064837002,0.0246578232504176,0.1277640727749443,0.0284937137220781,0.1237683121869348,0.0326767995580058,-0.270282677553434,0.5735372128795635
21CMA-DDR1-J041153+850942,04:11:53.50,+85:09:42.1,P,0.116047345100917,0.020636394244022,0.1330345963915574,0.0253345681013439,0.1705799433210541,0.0312350939294038,0.1830768757910617,0.0349184902989274,0.1123930748100044,0.0204162801188513,0.3557844862250151,0.4452061960389407
21CMA-DDR1-J054738+854152,05:47:38.05,+85:41:51.9,P,1.1944376558599972,0.0333391674068179,0.7760386232976081,0.0202511457683669,0.7277243779723312,0.0222879821264618,0.7874901633461713,0.0270923171607662,0.9555723220221988,0.028883696909898,-0.6139142371969462,0.0718859726851445
21CMA-DDR1-J075548+850606,07:55:47.98,+85:06:05.7,P,1.2785065803380022,0.0354220333242102,0.8017703210969965,0.0225278156412864,0.7559625765193784,0.0254613055620091,0.6283516208637882,0.0271626012800362,0.5999109978070224,0.0305818654000779,-1.506287506082083,0.0837455087543511
21CMA-DDR1-J062555+854210,06:25:55.40,+85:42:10.2,P,0.0794976398277846,0.0193937295709267,0.0878492675059503,0.0168657999868376,0.0756184712790313,0.0164253486712598,0.0790362217188215,0.0191815393139995,0.1070787563669402,0.0245325737970057,0.3290658690516921,0.5893067539516713
